filename,wall_thickness,color,infill_percent,platform_adhesion,support_type,obsolete
arduino_tray_2_20160508.stl,0.8,,,,,0
ballast_tray_20160414.stl,0.8,,,,,0
battery_tray2_cartridge_bottom_20160522.stl,0.8,,,,,0
battery_tray2_cartridge_top_20160522.stl,0.8,,,,,0
battery_tray2_nub_20160522.stl,0.8,,,brim,,0
battery_tray2_receiver_20160522.stl,0.8,,,,,0
bearings_slew_bearing_inner_bottom_20160214.stl,0.8,,,,,0
bearings_slew_bearing_inner_top_20160214.stl,0.8,,,,,0
bearings_slew_bearing_outer_20160214.stl,0.8,black,15,,,0
bearings_slew_bearing_outer_mount_20160215.stl,0.8,,,,,0
bnO055_mount.stl,,,,,,0
collar_front.stl,0.8,,,,,0
collar_side.stl,0.8,,,,,0
conduit_beam_20151108.stl,0.8,,,,,0
dc_converter_tray_20150917.stl,0.8,,,,,0
edge_sensor_mount_20151110.stl,0.8,,,,,0
edge_sensor_mount_cover_20151111b.stl,0.8,,,,,0
flexiTreads_driver_20150801.stl,0.8,,,,,0
flexiTreads_idler.stl,0.8,,,,,0
flexiTreads_tensioner_18_10_20160529.stl,0.8,,,,,0
flexiTreads_track_sprockets12_length228_20150920.stl,0.8,,,,,0
gears_pan_gears_small_dh_20150906.stl,0.8,,,,,0
head_bottom.stl,0.8,,,,,0
head_face_laser_mount_20160214.stl,0.8,,,,,0
head_face_led_mount_20160214.stl,0.8,,,,,0
head_face_sensor_mount_20160214.stl,0.8,,,,,0
head_front.stl,0.8,,,,,0
head_power_mount_bottom_20151227.stl,0.8,,,,,0
head_power_mount_top_20151227.stl,0.8,,,,,0
head_power_strip_housing_20151211.stl,0.8,,,,,0
head_power_strip_housing_20151227.stl,0.8,,,,,0
head_shell_back.stl,0.8,,,brim,,0
head_shell_back_lower.stl,0.8,,,brim,,0
head_shell_back_lower_tabbed.stl,,,,,,0
head_shell_front.stl,0.8,,,brim,,0
head_shell_front_lower.stl,0.8,,,,,0
head_shell_front_lower_tabbed.stl,,,,,,0
head_shell_front_middle.stl,0.8,,,,touching,0
head_shell_side_bottom.stl,0.8,,,brim,,0
head_shell_side_top.stl,0.8,,,brim,,0
head_shell_top.stl,1.2,,15,,,0
head_shell_top_tabbed.stl,,,,,,0
head_strut_open_side.stl,0.8,,,,,0
head_strut_servo_side.stl,0.8,,,,,0
head_top.stl,0.8,,,,,0
head_wire_through_a.stl,0.8,,,,,0
head_wire_through_b.stl,0.8,,,,,0
horizontal_20150726.stl,0.8,,,,,0
horizontal_motor_top_slotted_20150915.stl,0.8,,,,,0
horizontal_mount_20150816.stl,0.8,,,,,0
lower_rear_panel_20151122.stl,0.8,,,,,0
lrf_calibration_base.stl,,,,,,0
lrf_calibration_base_75d.stl,,,,,,0
lrf_calibration_centerpoint.stl,,,,,,0
lrf_calibration_nub.stl,,,,,,0
lrf_calibration_nub_all.stl,,,,,,0
lrf_calibration_top.stl,,,,,,0
mic_mount.stl,0.8,,,,,0
mock_tread.stl,,,,,,0
motor_mount_pan_bottom_20151224.stl,0.8,,,,,0
motor_mount_pan_top_20151224.stl,0.8,,,,,0
motor_pan_driver_mount.stl,0.8,,,,,0
motor_unimount_2_a0_20160406.stl,0.8,,,,,0
motor_unimount_2_b0_20160406.stl,0.8,,,,,0
mpu6050_mount_20160508.stl,,,,,,0
mpu6060_mount_20160508.stl,0.8,,,,,1
neck_strut_open.stl,0.8,,,,,0
neck_strut_servo.stl,0.8,,,,,0
neck_strut_servo_mount_20150928.stl,0.8,,,,,0
power_switch_holster_20151120.stl,0.8,,,,,0
power_switch_mount_20151120.stl,0.8,,,,,0
qrd1114_mount_a_20151205a.stl,0.8,,,,,0
qrd1114_mount_b_20151205b.stl,0.8,,,,,0
recharge_plug_female_v2_20160519.stl,0.8,,,,,0
recharge_plug_male_20151127c.stl,0.8,,,,,0
rpi_tray2.stl,0.8,,,,,0
screw_2p5_10.stl,0.8,,,,,0
screw_terminal_4_20160524.stl,0.8,,,,,0
screw_terminal_4_flipped_20160524.stl,0.8,,,,,0
screw_terminal_6_20151121b.stl,0.8,,,,,0
screws_2p5_15.stl,0.8,,,,,0
screws_2p5_20.stl,0.8,,,,,0
side_frame_extension_20151129.stl,0.8,,,,,0
side_panel_20151204b.stl,0.8,,,,,0
sonar_mount_2015119.stl,0.8,,,,,0
speaker_mount_20160503.stl,0.8,,,,,0
speaker_mount_a.stl,0.8,,,,,0
speaker_mount_b.stl,0.8,,,,,0
spiral_spring_samples.stl,0.8,,,,,0
spring_test.stl,0.8,,,,,0
top_front_panel_20151122.stl,0.8,,,,,0
top_front_panel_door_20151122.stl,0.8,,,,,0
top_rear_panel2_20160526.stl,0.8,,,,,0
top_rear_panel2_button_20160526.stl,0.8,,,,,0
torso_head_jack_bottom.stl,,,,,,0
torso_head_jack_top.stl,,,,,,0
torso_wire_restrainer.stl,,,,,,0
vertical_20150726.stl,0.8,,,,,0
vertical_back_slotted_20150916.stl,0.8,,,,,0
vertical_battery_slotted_20150915.stl,0.8,,,,,0
vertical_slotted_20150915.stl,0.8,,,,,0
